[0. 0. 1.],[1. 1. 0.],[1. 0. 0.],[1. 0. 1.],-0.03521357738770629
[0. 0. 1.],[0. 0. 1.],,,0.003224331333286818
[0. 1. 0.],[1. 0. 1.],[1. 0. 1.],,0.03707832306517236
[1. 0. 0.],[1. 1. 1.],,,0.10354239071216619
[0. 1. 1.],[0. 0. 1.],[1. 0. 1.],,-0.37560146104679687
[1. 1. 0.],[0. 1. 0.],[1. 0. 1.],[1. 1. 1.],-0.02589628614764791
[1. 0. 1.],[1. 0. 0.],,,0.1856809753315901
[1. 1. 0.],[0. 0. 1.],[1. 1. 1.],[1. 0. 1.],-0.029458155529488616
[1. 1. 1.],[1. 0. 1.],[0. 1. 1.],,-0.03495383257863338
[1. 0. 0.],[0. 0. 1.],[1. 0. 0.],,0.02118358550337483
[0. 0. 1.],[1. 1. 0.],[1. 0. 0.],[1. 0. 1.],-0.03521357738770629
[0. 0. 1.],[0. 0. 1.],,,0.003224331333286818
[0. 1. 0.],[0. 0. 1.],[1. 0. 1.],,-0.0065173776789442936
[1. 0. 0.],[1. 1. 1.],[0. 1. 1.],,-0.038140128429728776
[0. 1. 1.],[0. 0. 1.],[1. 0. 1.],,-0.37560146104679687
[1. 1. 0.],[0. 1. 0.],[1. 0. 1.],[1. 1. 1.],-0.02589628614764791
[1. 0. 1.],[1. 0. 0.],[0. 1. 1.],,-0.09245024639919527
[1. 1. 0.],[0. 0. 1.],[1. 0. 1.],[1. 0. 1.],-0.03686462456077508
[1. 1. 1.],[1. 0. 1.],[0. 1. 1.],[0. 0. 1.],-0.07054637191102188
[1. 1. 0.],[0. 0. 1.],[1. 0. 0.],,-1.1386941826891894e-05
[0. 0. 1.],[1. 1. 0.],[1. 0. 0.],[1. 0. 1.],-0.03521357738770629
[0. 0. 1.],[0. 0. 1.],,,0.003224331333286818
[0. 1. 0.],[0. 0. 1.],[1. 0. 1.],,-0.0065173776789442936
[1. 0. 0.],[1. 1. 1.],[0. 1. 1.],,-0.038140128429728776
[0. 1. 1.],[0. 0. 1.],[1. 0. 1.],,-0.37560146104679687
[1. 1. 0.],[0. 1. 0.],[1. 0. 1.],[1. 1. 1.],-0.02589628614764791
[1. 0. 1.],[1. 0. 0.],[0. 1. 1.],,-0.09245024639919527
[1. 1. 0.],[0. 0. 1.],[1. 0. 1.],[1. 0. 1.],-0.03686462456077508
[1. 1. 1.],[1. 0. 0.],[0. 1. 1.],[0. 0. 1.],-0.11351504370028237
[1. 1. 0.],[0. 0. 1.],[1. 0. 0.],,-1.1386941826891894e-05
[0. 0. 1.],[1. 1. 0.],[1. 0. 0.],[1. 0. 1.],-0.06246936784369255
[0. 0. 1.],[0. 0. 1.],,,0.003224331333286818
[1. 1. 0.],[0. 0. 1.],[1. 0. 1.],,-0.09545095031630976
[1. 0. 0.],[1. 1. 1.],[0. 1. 1.],,-0.038140128429728776
[0. 1. 1.],[1. 0. 1.],[1. 0. 1.],,-0.3985732445019633
[1. 1. 0.],[0. 1. 0.],[1. 0. 1.],[1. 0. 1.],-0.06694888130921729
[1. 0. 1.],[1. 0. 0.],[0. 1. 1.],,-0.09245024639919527
[1. 1. 0.],[0. 0. 1.],[1. 0. 1.],[1. 0. 1.],-0.03686462456077508
[1. 1. 1.],[1. 0. 0.],[0. 1. 1.],[0. 0. 1.],-0.11351504370028237
[1. 1. 0.],[0. 0. 1.],[1. 0. 0.],,-1.1386941826891894e-05
[0. 0. 1.],[1. 1. 0.],[1. 0. 0.],[1. 0. 1.],-0.06246936784369255
[0. 0. 1.],[0. 0. 1.],,,0.003224331333286818
[1. 1. 0.],[0. 0. 1.],[1. 0. 1.],,-0.09545095031630976
[1. 0. 0.],[1. 1. 1.],[0. 1. 1.],,-0.11974438297094954
[0. 1. 1.],[1. 0. 1.],[1. 0. 1.],,-0.3985732445019633
[1. 1. 0.],[0. 1. 0.],[1. 1. 1.],[1. 0. 1.],-0.09754286681569511
[1. 0. 1.],[1. 0. 0.],[0. 1. 1.],,-0.09245024639919527
[1. 1. 0.],[0. 0. 1.],[1. 0. 1.],[1. 0. 1.],-0.03686462456077508
[1. 1. 1.],[1. 0. 0.],[0. 1. 1.],[0. 0. 1.],-0.11351504370028237
[1. 1. 0.],[0. 0. 1.],[1. 0. 0.],,-0.022409418189383863
[0. 0. 1.],[1. 1. 0.],[1. 0. 0.],[1. 0. 1.],-0.06246936784369255
[0. 0. 1.],[0. 0. 1.],,,0.0024581778256477335
[1. 1. 0.],[0. 0. 1.],[1. 0. 1.],,-0.09545095031630976
[1. 0. 0.],[1. 1. 1.],[0. 1. 1.],,-0.11974438297094954
[0. 1. 1.],[0. 0. 1.],[1. 0. 1.],,-0.4525292333123053
[1. 1. 0.],[0. 1. 0.],[1. 1. 1.],[1. 0. 1.],-0.09754286681569511
[1. 0. 1.],[1. 0. 0.],[0. 1. 1.],,-0.09245024639919527
[1. 1. 0.],[0. 0. 1.],[1. 0. 1.],[1. 0. 1.],-0.03686462456077508
[1. 1. 1.],[1. 0. 0.],[0. 1. 1.],[0. 0. 1.],-0.11351504370028237
[1. 1. 0.],[0. 0. 1.],[1. 0. 0.],,-0.022409418189383863
[0. 1. 1.],[1. 1. 0.],[1. 0. 0.],[1. 0. 1.],-0.32641340180881667
[0. 0. 1.],[0. 0. 1.],,,0.0024581778256477335
[1. 1. 0.],[0. 0. 1.],[1. 0. 1.],,-0.09545095031630976
[1. 0. 0.],[1. 1. 1.],[0. 1. 1.],,-0.11974438297094954
[0. 1. 1.],[0. 0. 1.],[1. 0. 1.],,-0.4525292333123053
[1. 1. 0.],[0. 1. 0.],[1. 1. 1.],[1. 0. 1.],-0.09754286681569511
[1. 0. 1.],[1. 0. 0.],[0. 1. 1.],,-0.09245024639919527
